Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Aaron,2023-07-17 19:39:09,00:00:12,,Schitt's Creek: Season 2: Happy Anniversary (Episode 13),,Youview British Telecom DTR-T2100 Set Top Box,00:00:00,00:00:00,GB (United Kingdom)
Aaron,2023-07-17 19:10:33,00:21:49,,Schitt's Creek: Season 2: Happy Anniversary (Episode 13),,Youview British Telecom DTR-T2100 Set Top Box,00:21:49,Not latest view,GB (United Kingdom)
Aaron,2023-07-17 18:50:08,00:20:21,,Schitt's Creek: Season 2: Lawn Signs (Episode 12),,Youview British Telecom DTR-T2100 Set Top Box,00:21:37,00:21:37,GB (United Kingdom)
Aaron,2023-07-12 20:50:00,00:01:18,,Schitt's Creek: Season 2: Lawn Signs (Episode 12),,Youview British Telecom DTR-T2100 Set Top Box,00:01:18,Not latest view,GB (United Kingdom)
Aaron,2023-07-12 20:21:41,00:21:45,,Schitt's Creek: Season 2: The Motel Guest (Episode 11),,Youview British Telecom DTR-T2100 Set Top Box,00:21:35,00:21:35,GB (United Kingdom)
Aaron,2023-07-11 18:23:52,00:13:43,,Schitt's Creek: Season 1: Bad Parents (Episode 4),,Youview British Telecom DTR-T2100 Set Top Box,00:13:43,00:13:43,GB (United Kingdom)
Aaron,2023-07-11 18:23:22,00:00:27,,"Schitt's Creek: Season 1: Don't Worry, It's His Sister (Episode 3)",,Youview British Telecom DTR-T2100 Set Top Box,00:21:26,00:21:26,GB (United Kingdom)
Aaron,2023-07-10 21:44:33,00:21:00,,"Schitt's Creek: Season 1: Don't Worry, It's His Sister (Episode 3)",,Youview British Telecom DTR-T2100 Set Top Box,00:21:00,Not latest view,GB (United Kingdom)
Aaron,2023-07-10 21:34:38,00:09:50,,Schitt's Creek: Season 1: The Drip (Episode 2),,Youview British Telecom DTR-T2100 Set Top Box,00:21:47,00:21:47,GB (United Kingdom)
Aaron,2023-07-10 21:30:42,00:00:11,,Schitt's Creek: Season 1: The Drip (Episode 2),,Youview British Telecom DTR-T2100 Set Top Box,00:11:57,Not latest view,GB (United Kingdom)
Aaron,2023-07-05 20:11:33,00:11:48,,Schitt's Creek: Season 1: The Drip (Episode 2),,Youview British Telecom DTR-T2100 Set Top Box,00:11:48,Not latest view,GB (United Kingdom)
Aaron,2023-07-05 19:49:58,00:21:29,,Schitt's Creek: Season 1: Our Cup Runneth Over (Episode 1),,Youview British Telecom DTR-T2100 Set Top Box,00:21:29,00:21:29,GB (United Kingdom)
Aaron,2023-07-03 20:40:35,00:21:01,,Schitt's Creek: Season 2: Ronnie's Party (Episode 10),,Youview British Telecom DTR-T2100 Set Top Box,00:21:01,00:21:01,GB (United Kingdom)
Aaron,2023-07-03 20:29:52,00:10:38,,Schitt's Creek: Season 2: Moira's Nudes (Episode 9),,Youview British Telecom DTR-T2100 Set Top Box,00:21:45,00:21:45,GB (United Kingdom)
Aaron,2023-07-03 19:16:15,00:11:08,,Schitt's Creek: Season 2: Moira's Nudes (Episode 9),,Youview British Telecom DTR-T2100 Set Top Box,00:11:08,Not latest view,GB (United Kingdom)
Aaron,2023-06-27 19:51:12,00:00:02,,Schitt's Creek: Season 2: Moira's Nudes (Episode 9),,Youview British Telecom DTR-T2100 Set Top Box,00:00:00,Not latest view,GB (United Kingdom)
Aaron,2023-06-27 19:19:39,00:22:44,,Schitt's Creek: Season 2: Milk Money (Episode 8),,Youview British Telecom DTR-T2100 Set Top Box,00:21:42,00:21:42,GB (United Kingdom)
Aaron,2023-06-27 18:50:35,00:21:30,,Schitt's Creek: Season 2: The Candidate (Episode 7),,Youview British Telecom DTR-T2100 Set Top Box,00:21:30,00:21:30,GB (United Kingdom)
Aaron,2023-06-26 19:13:27,00:22:37,,Schitt's Creek: Season 2: Moira vs. Town Council (Episode 6),,Youview British Telecom DTR-T2100 Set Top Box,00:21:25,00:21:25,GB (United Kingdom)
Aaron,2023-06-26 18:41:10,00:21:28,,Schitt's Creek: Season 2: Bob's Bagels (Episode 5),,Youview British Telecom DTR-T2100 Set Top Box,00:21:28,00:21:28,GB (United Kingdom)
